size,connectance,sigma,mu_u,mu_l,Robs
250,0.5,0.25,-1.05,0.2,1.6781567884229562
250,0.5,0.25,-1.05,0.2,1.8003203474743488
250,0.5,0.25,-1.05,0.2,1.731352025443031
250,0.5,0.25,-1.05,0.2,1.7957092206246725
250,0.5,0.25,-1.05,0.2,1.6867911268888696
250,0.5,0.25,-1.05,0.2,1.7851379743339166
250,0.5,0.25,-1.05,0.2,1.7280044025811683
250,0.5,0.25,-1.05,0.2,1.656535581110807
250,0.5,0.25,-1.05,0.2,1.708534863699441
250,0.5,0.25,-1.05,0.2,1.8441854786965481
250,0.5,0.25,-1.05,0.2,1.7013507341655751
250,0.5,0.25,-1.05,0.2,1.725793568826533
250,0.5,0.25,-1.05,0.2,1.8820637503587303
250,0.5,0.25,-1.05,0.2,1.7484757477412751
250,0.5,0.25,-1.05,0.2,1.7662701831644916
250,0.5,0.25,-1.05,0.2,1.7209710009554129
250,0.5,0.25,-1.05,0.2,1.6880536051158193
250,0.5,0.25,-1.05,0.2,1.679098308252332
250,0.5,0.25,-1.05,0.2,1.6848689850820102
250,0.5,0.25,-1.05,0.25,2.038704369164604
250,0.5,0.25,-1.05,0.25,2.032811383820209
250,0.5,0.25,-1.05,0.25,2.1507903697150654
250,0.5,0.25,-1.05,0.25,1.9973461290160666
250,0.5,0.25,-1.05,0.25,1.9983552113283078
250,0.5,0.25,-1.05,0.25,1.9990899296441176
250,0.5,0.25,-1.05,0.25,1.9522979077183797
250,0.5,0.25,-1.05,0.25,2.079082955436468
250,0.5,0.25,-1.05,0.25,2.0637096258841146
250,0.5,0.25,-1.05,0.25,1.9134117475310626
250,0.5,0.25,-1.05,0.25,1.8873714763143246
250,0.5,0.25,-1.05,0.25,2.1005758095802927
250,0.5,0.25,-1.05,0.25,2.032911355289771
250,0.5,0.25,-1.05,0.25,2.0524685237028946
250,0.5,0.25,-1.05,0.25,2.1298861276320644
250,0.5,0.25,-1.05,0.25,2.05169617676863
250,0.5,0.25,-1.05,0.25,2.0028480743481913
250,0.5,0.25,-1.05,0.25,1.9375231227050553
250,0.5,0.25,-1.05,0.25,2.0090942154798888
250,0.5,0.25,-1.05,0.25,2.0596766360276844
250,0.5,0.25,-1.05,0.25,1.9926044565514898
250,0.5,0.25,-1.05,0.25,1.9311371992449995
250,0.5,0.25,-1.05,0.25,2.095790806886577
250,0.5,0.25,-1.05,0.25,1.9865008112600577
250,0.5,0.25,-1.05,0.25,2.071297287184671
250,0.5,0.25,-1.05,0.25,2.016090218278943
250,0.5,0.25,-1.05,0.25,2.0223157707065527
250,0.5,0.25,-1.05,0.25,1.9932166560024827
250,0.5,0.25,-1.05,0.25,1.8742316785896256
250,0.5,0.25,-1.05,0.25,1.913821724831926
250,0.5,0.25,-1.05,0.25,2.116864431350597
