run,Rmax,Robs,size,connectance,sigma,mu,obs,pred,Rho
61,1.2,1.3492705606104638,250,0.07759263785555959,0.48076804052034955,0.09430538769811392,0.25951786208877203,0.16269858967895887,0.27763640534717726
62,1.2,1.1811887626408524,250,0.16714477189816535,0.44294442067158185,-0.12968356860801578,0.1793718145213262,0.16686013748758485,0.18186064847232913
63,1.2,1.3305242832720623,250,0.5370610919781029,0.3842005066152866,0.06869384832680225,0.03211869795201424,0.02640707245400946,0.539288903493704
64,1.2,1.2501633521732018,250,0.12252796464599669,0.488431663410066,-0.1346973804756999,0.1978358726400287,0.16592475982708407,0.20348490118306922
65,1.2,1.1872577806905573,250,0.18934183078818023,0.3943194967469159,-0.2610699962824583,0.18921767267473324,0.1679114260534425,0.17585063875643087
66,1.2,1.2086417770641076,250,0.1307410153094679,0.3074511506406816,-0.09746290137991309,0.15033615393597524,0.16177824034181018,0.2798771905507352
67,1.2,1.1822228574608327,250,0.4324298882856965,0.24707153257447304,-0.04585621180012822,0.12474345932928912,0.1649113486103627,0.2118940285576184
68,1.2,1.2194505234519957,250,0.5716874192003161,0.19074910522438815,-0.05561801930889487,0.14191893042430603,0.16357206017219075,0.22133997304636108
69,1.2,1.1866399289037284,250,0.9308430412784219,0.1431594664007621,-0.19424923602491617,0.18218163616569796,0.16356875388103817,0.23283692398965966
70,1.2,1.3476296605453972,250,0.2893319942522794,0.4554801451343723,0.15586940059438348,0.03525343644932116,0.03151366530411923,0.7342348304368203
71,1.2,1.1242574585155083,250,0.7254124479368329,0.46812905084915163,0.1744371629320085,0.028138527106568945,0.051617387563733456,0.5442193983191821
72,1.2,1.2194966772748168,250,0.93712277431041,0.34734640184304677,-0.9802714488469064,0.19127080675436325,0.18401185266637934,0.09557215128471529
73,1.2,1.423501524255997,250,0.26473210332915187,0.4890535180326759,0.1360567701049149,0.031360094077407114,0.027331456530776916,0.5141704690231571
74,1.2,1.2173134715101537,250,0.3734279873315245,0.42674916729513485,0.13706375751644373,0.035054248192498715,0.033532564046440984,0.7446030493678953
75,1.2,1.1930931044436714,250,0.9943987720180303,0.10626367429701757,-0.893411192111671,0.1460970208346448,0.1621967636629751,0.21932684094778238
76,1.2,1.2398499324532737,250,0.9961132616735995,0.28891625431505896,0.055922605097293854,0.020037891378177127,0.03464914678173744,0.7998091286706412
77,1.2,0.9806019094175781,250,0.2615615725517273,0.49355380043311053,0.9383874451741576,0,0.0735573612205267,0.5813639998125326
78,1.2,1.3149440914340855,250,0.20906329480931163,0.4892917168936758,0.13196234870702028,0.026758241978204853,0.024191942604915712,0.4779458932423242
79,1.2,1.1490082765298164,250,0.33720085863023996,0.43047030544035514,0.11874081613495946,0.030417312434786275,0.029355106803541486,0.6883054193229567
80,1.2,1.346166801823745,250,0.630801138933748,0.4909957115201533,0.2285658922046423,0.036696358456499316,0.056098820131226426,0.5925051495820608
81,1.2,1.2082811610759212,250,0.577478205319494,0.3407748684948747,-0.14319679467007518,0.17536492137154092,0.1737443002148602,0.14385946304165678
82,1.2,1.1676966761922196,250,0.7720093126408756,0.22621590609246464,-0.24849267024546862,0.17682273384863847,0.17004445193089202,0.16496114372822523
83,1.2,1.188340134589071,250,0.9069268146995455,0.22484860280295307,-0.13496603956446052,0.17381786232001017,0.16947484752574046,0.16874265622606008
84,1.2,1.2059050002787988,250,0.9839311498217285,0.31024275354232445,-0.7944646971300244,0.1691108191687684,0.178005181564085,0.11661448320275014
85,1.2,1.4677259838176975,250,0.9958676025271416,0.2333889594796906,0.016778136137872934,0.16834038449088312,0.178927031238396,0.3089107298365948
86,1.2,1.1954339506625016,250,0.8186322739347816,0.07860813220859095,-0.0036508040502667427,0.16041629273573263,0.16269302784621859,0.34093239808330816
87,1.2,1.1603509953289468,250,0.6843764821533114,0.2261247473151965,-0.24254239862784743,0.16008415887895597,0.16951513706495652,0.17792949525101903
88,1.2,1.219264934883294,250,0.71542530762963,0.44453008204333117,0.093503228854388,0.03656306769684604,0.03712849478432728,0.6438640088719603
89,1.2,1.199957812591746,250,0.695931883295998,0.12226145493119596,-0.1489284373819828,0.17489559852568262,0.16205000259486874,0.2574425236417285
90,1.2,1.192394647058584,250,0.9151145259384066,0.3887970884703685,-0.3683102601207793,0.1777604317197423,0.18234781001299558,0.09287579076687097
91,1.2,1.209449585713998,250,0.30987996771000326,0.3364947532926395,-0.029188879765570164,0.21625196882879827,0.16688469260443325,0.17413302862830743
92,1.2,1.4024128216190952,250,0.6237301167566329,0.44634213705496534,0.09075063839554787,0.03885691957174783,0.03398773937140401,0.49757916859526446
93,1.2,1.1739388163114783,250,0.723535192431882,0.37897566473472183,0.08692541858181357,0.01976241403044803,0.035674018377242295,0.48167865759463346
94,1.2,1.1418916716401848,250,0.73937520198524,0.2983932163913037,-0.10808866517618299,0.18205716497607413,0.17311608505305767,0.1475791383585827
95,1.2,1.2085283054850045,250,0.3399828509427607,0.4273957279889347,-0.2444563270546496,0.2081998645271432,0.17424310794378392,0.15012551353403122
96,1.2,1.234173180487111,250,0.23323979601264,0.2758111094991564,-0.08112774323672056,0.1864025675193627,0.16292390283421715,0.23068130776141438
97,1.2,1.2484759453200434,250,0.6650073134806007,0.37384314857813256,-0.424184444360435,0.1807843579088057,0.18094771742208265,0.11529520068351357
98,1.2,1.4992182934236333,250,0.2415490630082786,0.4725031556003566,0.05946838669478893,0.20354553043676274,0.1615666652934722,0.21535221696606408
99,1.2,1.1821537571539924,250,0.8315343982540071,0.08677036137576168,-0.02852502465248108,0.15588839202367838,0.1619207761521061,0.33840123376455133
100,1.2,1.3220517665881406,250,0.3782974018249661,0.49451485325126954,0.11877896636724472,0.03322812358515071,0.030788847116459662,0.6281750475522483
1,1.3,1.3252000102971986,250,0.5861011052038521,0.39923029668152754,-0.2707905825227499,0.2726595148719396,0.2678946447303128,0.10169564709711196
2,1.3,1.2727212587693506,250,0.5210548210889101,0.2709245578643168,-0.2836575754918158,0.25038794494112115,0.25998129899206485,0.14196601695320465
3,1.3,1.2570612271063162,250,0.8369774790480733,0.175256384075844,-0.1910658497363329,0.25701824522899225,0.2538907773679384,0.16944249860652275
4,1.3,1.1110873856672172,250,0.8744632147718221,0.44999904884021646,0.13904100842773914,0.048984933038647954,0.05106800353825428,0.8783105258297449
5,1.3,1.2763970059363337,250,0.6561159102711827,0.4007644066785284,-0.4293309049680829,0.275936715968748,0.2716516330864568,0.09303138105439895
6,1.3,1.2770126626729539,250,0.1541237214114517,0.4704716887276276,-0.23431139532476664,0.256709314209072,0.2564118952005799,0.12804189951394726
7,1.3,1.343749405189605,250,0.5215458415914327,0.3423754094706316,-0.3499087984673679,0.2589965675420224,0.26540839032327046,0.10453579445694469
8,1.3,1.2953842961021789,250,0.8458610521629453,0.3726764855557582,-0.6562060653232038,0.2896661697937379,0.27395089469821243,0.07091474735410763
9,1.3,1.184751347949536,250,0.6488822572864592,0.4517305648055483,0.06242567766457796,0.025125058103112257,0.024903940429234852,0.4424650333050216
10,1.3,1.5999433129194236,250,0.8791153053753078,0.4184136693848944,0.06744617177173495,0.02222292395627588,0.03172029951859105,0.3794630366527261
11,1.3,1.6495472056727811,250,0.7724844892509282,0.36854650473461287,0.05092227179557085,0.030404704262963687,0.02667850865011873,0.5360586526900194
12,1.3,1.0986352107587851,250,0.9709754802752286,0.47058757179560856,0.17212707409635186,0.030223860638746467,0.060396076656177786,0.550020817746336
13,1.3,1.2394737504710727,250,0.8537690734956414,0.2119737987199554,-0.29123914428055286,0.27320700136067944,0.25808188344235833,0.1488232274289156
14,1.3,1.3010430600110927,250,0.1719062274787575,0.4029616959239752,-0.27551838336512446,0.28402586401934554,0.2558070020565368,0.15403078167413975
15,1.3,1.2038801867744735,250,0.684241940965876,0.46106467681942315,0.17179168108850718,0.02723808155797862,0.05097908430056004,0.9064182723245644
16,1.3,1.311010822466231,250,0.5352631914429367,0.390040806012117,-0.3163784840144217,0.2594376653846028,0.26732837613624344,0.10741426707892857
17,1.3,1.2994129276825555,250,0.8237527045421302,0.12766596707759956,-0.12073482060804963,0.2425817218682584,0.25040582174585524,0.19936034623115859
18,1.3,1.32506526644483,250,0.33903666911646724,0.3349365359278407,-0.04481796082109213,0.2538994785254968,0.25574512615522504,0.12789770852990856
19,1.3,1.3459800966685354,250,0.0779710584320128,0.4438275976948553,-0.24195856228470802,0.22381182397143057,0.2511746376634553,0.17881546320761288
20,1.3,1.6613134548907487,250,0.3327350134495646,0.41456825875326964,0.04797623585909605,0.27534835060977453,0.2552754298424639,0.18945683471624952
21,1.3,1.2952070156024886,250,0.3516566609032452,0.3482652917672845,-0.22742107464000583,0.2872636785853529,0.2591929042879144,0.12658412865757795
22,1.3,1.355358810450291,250,0.8273342112079263,0.33029429558572765,0.04533554473891854,0.029186112192071356,0.028453956376455647,0.5814676258181174
23,1.3,1.516532290254208,250,0.9811082994565368,0.4282051928186493,0.0671275146305561,0.021736377753285876,0.03241768123174936,0.6688195660938343
24,1.3,1.3059959973205852,250,0.9946227285545319,0.08213284675866252,-0.5336610022932291,0.2695276634715361,0.2506421324955596,0.2422565731903566
25,1.3,1.2875846034997367,250,0.9924962574150413,0.33108168792566034,-0.13514542253687978,0.2766193134460169,0.2676229932561178,0.10437027858167643
26,1.3,1.3558481462610594,250,0.3552177206147462,0.4675413512410182,-0.2675271504558623,0.28252147073872896,0.26570423082736533,0.10681822817441378
27,1.3,1.2758198298481336,250,0.4337802496738732,0.2143315631758233,-0.16002143640071154,0.24712872416452308,0.25275451111252045,0.16294899118748862
28,1.3,1.2917584480000044,250,0.6457559140399098,0.25615978942385204,-0.15553440665826201,0.23920840151418887,0.25785280456486576,0.1393489476208353
29,1.3,1.2676093595380764,250,0.8270138052757829,0.2839721486958357,-0.11206955648958683,0.2346608077231058,0.2617889819984553,0.12594476070196875
30,1.3,1.3092309056783074,250,0.9686698699370027,0.3175907293991297,-0.4906958700157702,0.2796369866588959,0.2671257851566483,0.10794134302467294
31,1.3,1.2651558110355698,250,0.4280717349611223,0.47710887228101,0.11591451289132237,0.03222067442354196,0.031931005032792094,0.6541613461562149
32,1.3,1.4260139865845771,250,0.9565404644235969,0.39026390988130755,0.05039249313995242,0.03230439165958383,0.03036350320633207,0.42717015228184707
33,1.3,1.2562825840297607,250,0.2700639271643013,0.15605310888185178,-0.09136646706610918,0.254679945510634,0.25063126214097703,0.23750777926069266
34,1.3,1.275182828247806,250,0.7475346145220101,0.23000371222039603,-0.25988690461963415,0.27456982879960234,0.25877983983876546,0.13208891856265953
35,1.3,1.3206701140483754,250,0.24475061940029263,0.3084694301297056,-0.14933597762137651,0.2602825452846448,0.25307067534973443,0.15203848585846494
36,1.3,1.360277556172466,250,0.08456379012204707,0.3851384424107511,-0.1714263129979372,0.24285318914141343,0.25030243541403624,0.17720316815584242
37,1.3,1.3213354121621728,250,0.4368937495164573,0.3961352655926504,-0.20320036867633462,0.29553336736195374,0.2634678823162165,0.10926880300139874
38,1.3,1.2955847359278196,250,0.9139237087219954,0.16966120949896613,-0.1616984843276441,0.2709819608962197,0.2533080698994047,0.16177117187366316
39,1.3,1.3075154499832202,250,0.6538147164974362,0.29639672374498904,-0.31503745587542653,0.2599636233051457,0.2636574354422386,0.10858796871826217
40,1.3,1.3555159958113376,250,0.8993613056372851,0.23586635024259658,-0.4948550956323743,0.284516380670957,0.262427718013522,0.12220000651795314
41,1.3,1.3683755509761144,250,0.7849004792515188,0.3228489072060892,0.05322403647005558,0.03154406365101529,0.029796442039958182,0.6300861270926301
42,1.3,1.352244829737539,250,0.4503252182621509,0.4852011457249338,0.128355348482728,0.03542634086446038,0.03465778517267214,0.7240394795681843
43,1.3,1.3120887244637933,250,0.3404061202891171,0.35623793193526704,0.014596115332096815,0.2509235978229928,0.2568179658383573,0.13815387929668715
44,1.3,1.2409977225168352,250,0.7166148738469929,0.2071080648614458,-0.17400682996958494,0.2288440791189157,0.2553934745993885,0.16297014468322227
45,1.3,1.8378996503570773,250,0.7236565328203142,0.30820473718627894,0.05813635652884841,0.03650161740893817,0.030501606927112093,0.6814518559140934
46,1.3,1.3696152906195114,250,0.17997811478562653,0.2570361661074258,0.03604938415810466,0.2662166957130479,0.26069222276274184,0.38058876602448494
47,1.3,1.504283222305163,250,0.8842738196253777,0.4614835377725356,0.09245087159797549,0.043512990993857,0.0377500683549293,0.695455250670709
48,1.3,1.2718283729112176,250,0.2602391114924103,0.22975670251552205,-0.1542276837863028,0.2295977145714252,0.25092208972921676,0.1917287624257379
49,1.3,1.2515198667575385,250,0.39576007961295545,0.17140015744815548,2.492545172572136e-5,0.24650933654232302,0.25005033749102784,0.2202007271995114
50,1.3,1.329420584745081,250,0.8802973628044128,0.45582363416709265,0.09340480621904135,0.04154702408370452,0.04194582667603443,0.6803617878260861
51,1.3,1.3026048233473422,250,0.5697198500856757,0.286309867246226,-0.20463286060839891,0.27430810863306554,0.2596940545383943,0.14292435360744113
52,1.3,1.2904148108667102,250,0.3098569007124752,0.21280921882119005,-0.032506450079381466,0.24619424030566775,0.250217463937014,0.19478284657330905
53,1.3,1.5311677199378624,250,0.02725145034492016,0.47113186568048837,-0.0793488621711731,0.31316284680155937,0.251858053904347,0.1935264579951875
