sigma,mu,rho,Va,Pa,Rmax,Robs,Rho
0.7970126830041409,-0.3103760895319283,0.39917419012635946,0.34169793767301243,0.4415211995715608,0.9301837480036634,0.9323083645842953,0.8192993081418736
0.8998579734470695,0.44711324432864785,0.4324219417758286,0.4548497495016557,0.494785762732844,1.306254824352873,1.1505632879246062,0.984893729643506
0.16548403212800622,-0.3486683228984475,-0.2539930958300829,0.044084882292875514,0.6105177657882159,0.8424361366724709,0.8106098097556538,0.9752561312780031
0.2198172272183001,0.2150396448560059,0.034525749273598194,0.03572031890592017,0.3469915169544049,0.41089316323785086,0.4276967559258623,0.9999923504431697
0.7305076119955629,-0.12774459295906126,-0.11840897635556757,0.270900355849299,-0.10156610502625008,1.0800222694430153,1.0798808911152142,0.8141570603362805
0.9490606824401766,-0.051006265450268984,-0.02595458901487291,0.4510084992557027,-0.02447503619403482,0.957721468391532,0.9684251634977648,0.7489221743027887
0.24061717954464257,0.17523090541362762,-0.38573626428842545,0.03662478109902931,-0.09528921858212143,0.20270263197967275,0.4029301192788672,0.9999867042980128
0.5353121210355312,-0.4012474229093641,0.358976558316499,0.18352940706163112,0.4995595467002427,0.9103741351856189,0.9089673086625254,0.838721680227184
0.9681356125511229,0.15652463492006063,-0.32211316586472094,0.47476827247908354,-0.30505657040316136,1.3098210190337105,1.4400557245753773,0.5392331872286447
0.49976405990310013,-0.47564121964387596,0.03287376184016466,0.1814407002414932,0.33434607230397356,0.8998679844478877,0.865139606128751,0.8928532097514976
0.6516163032501936,-0.3074205203447491,0.24408953334204853,0.2359287474129832,0.31978941702181196,0.910200862419099,0.9111872268314425,0.8449386544576963
0.5873580176848918,-0.14437168650329113,0.37029541144147515,0.177705516435314,0.3887600162304665,0.9025010269433208,0.8863566606558454,0.9013943102913623
0.17924804775975645,-0.4512776182964444,-0.4710442302748561,0.06697780350666982,0.6471633394910495,0.8708042007902331,0.8777908171960197,0.967403056907898
0.8884106215555221,-0.4787824866361916,0.3485089612659067,0.4519448836237183,0.43112026818740323,0.9383176366163182,0.9668514279485955,0.7188070044538001
0.3943674387410283,-0.21028759190812707,0.10189163475297391,0.0888180561972091,0.21367953054498204,0.8511696608671114,0.8346623145012181,0.9295891406013665
0.2035688702017069,-0.46575449709780514,-0.1871193484403193,0.07495195534930704,0.6718260130876791,0.878595101255428,0.8946250507703575,0.9370264835902967
0.11759276804514229,0.44477234221994877,-0.27959015616215765,0.05636963864921413,0.8430516078979644,0.5792565771110916,0.5410371386877573,0.9999836450688367
0.9893174110911787,-0.49485612055286765,-0.3352777427062392,0.5505951149562347,-0.1868082731117752,1.3209862448098177,1.2643756084499296,0.5541627353097298
0.41536839422769845,-0.06428876332938671,-0.14629408111795783,0.08729871273425382,-0.1327266269833068,1.0475321783421765,1.035958266564449,0.882374259134711
0.7093754156958312,0.33419782435521483,0.0893536841031164,0.27952878664775643,0.18031787078951836,0.7586520793411287,0.6355615875400511,0.9997377341806918
0.9230696184094995,0.35572365089319646,0.0034541275817900896,0.4576635891665257,0.07233782067475261,0.6938847906730813,0.7256955893267056,0.9993718040384453
0.9983967717271298,-0.2900248719379306,-0.1421321569941938,0.5194266634832305,-0.09589377632040333,1.1048870970690103,1.0968821483525344,0.7247580837564472
0.8634033054113388,0.4751507949549705,-0.47370026679709554,0.4291747033841979,-0.2798894661952275,0.731050261861941,0.5951955193964676,0.9754796842885705
0.6255105505697429,0.28963741776533425,-0.14795328537002206,0.21660418287947414,-0.036803988753323275,0.28850928955025773,0.3608417606906568,0.9999944029175362
0.5027910175267607,0.4845397921744734,0.3792199182789773,0.18509410620291816,0.5760738483858046,0.8628832535149245,0.9504883726577407,0.9971403169591223
0.046374606899917126,-0.0014294281136244535,-0.004017723025754094,0.0010758128987439256,-0.003540996541488863,0.3431259699738676,0.3471811194325111,0.9999896407132743
0.6594836479052901,0.30718954489566386,-0.35213220538571477,0.2410506950505356,-0.21980058247922507,0.595543738871614,0.5467765816617185,0.9996282011479166
0.06344189844094217,-0.2553083961829543,0.4504347073379904,0.0183080315292735,0.939591230308452,0.8058082889264939,0.7732591565126701,0.9912655774163188
0.028270206414163113,0.2504018354229629,0.169885597191751,0.016074872081146843,0.9793643389017744,0.411757089807563,0.5487934524191638,0.9999383297329034
0.258222394855693,-0.4527615490369499,0.39484056388027966,0.0845876576740893,0.7614822938207422,0.890113666421886,0.8946548207304333,0.9423986070433474
0.3532717661000788,-0.32434366806410253,-0.0998158291913569,0.08870017411505358,0.226280830477261,0.8523898881721552,0.8138698044969342,0.9366929551350613
0.26417788956314325,-0.3285286829341203,-0.480868207057938,0.06187775254462509,0.1648878252860717,0.8208413268477657,0.8197675870126533,0.935826920228121
0.09698411566205323,0.19279777933843434,0.2777545761782676,0.013995705274833164,0.7573047732203391,0.37769027909491354,0.3584193367991717,0.9999987927084681
0.06661228951998055,0.12857846193946898,-0.42005930095911026,0.006351703776226724,0.5039848160849717,0.2462873699446922,0.24141937966571772,0.9999999657273358
0.9909007903188467,-0.23712904914282262,0.3936773936729878,0.5049997346141023,0.4105554386307343,0.9406497946460497,0.9373253146418283,0.7303669637203215
0.346012148540467,0.3715358884073794,-0.43343678675591946,0.09437193256246028,0.09073935164307413,0.33480051900511626,0.18593024642988817,0.9999999957307499
0.049098212039098144,0.46702787978574634,-0.3815127059351653,0.0557340773370105,0.9701231073767739,0.601849134622392,0.561394977897434,0.9999759513551055
0.4364820763003081,0.4737232441548258,0.31939332839101553,0.15136172947885718,0.5716656004993584,0.7841482204167032,1.1658628207864328,-0.9967400924200801
0.46210006438195705,0.05712364171631634,0.43139325291849673,0.10758401236163795,0.43570482899191804,1.047451485192416,1.3176442949703662,-0.37836820635915763
0.9306420409120619,0.45150181534700096,-0.05355494748800993,0.4840107764718933,0.05737815774252144,0.6238131390940667,0.35730993262548977,0.9999963623293349
0.9503066951874644,-0.3900242899544537,0.14598921034485102,0.4895711441476791,0.21232850719284482,0.9306140740330847,0.9426789611228152,0.7878914631560242
0.6372282900847495,0.43728962913155556,0.47015459556132555,0.25083550177867014,0.571135331582086,1.038776776347986,1.1445808999382519,0.9873864137150066
0.060008648317307234,0.4651703319977969,0.2546524067874998,0.055896378379170275,0.9759910660633148,0.6052512104057065,0.6407107647779517,0.9999420748432434
0.0017312902491539717,-0.3733004918321967,-0.086337921442464,0.0348398129835034,0.9999532696649048,0.8551226054100199,0.8257860853021872,0.9855373687295542
0.9312115975189954,-0.19069245574064553,0.4154929129872471,0.44266842284603924,0.4274966996940606,0.9375664985942159,0.9376945745216853,0.7969408641498525
0.8320584998000413,0.2897164518944919,-0.1856274523306638,0.367144579169331,-0.1178636993647039,0.5747817657346868,0.5906863199209507,0.9998053223287826
0.4056942481547594,-0.12140627601183951,-0.42364617763087153,0.08597878245669349,-0.36263167716070716,1.5973447510273961,1.5121262430618034,0.32339073613378577
0.5836390699259937,0.41886787326075137,0.2645799301099032,0.2141798557845357,0.4151889450454458,0.853209177119415,0.9034072706683064,0.9982770869391924
0.6488284741062671,-0.4417970613576472,-0.3249016248155385,0.25928535526159663,-0.07556200153549611,1.0256697838779882,1.0433890308968459,0.7869416622422704
0.9432705366052687,-0.37200843449682,-0.016397689701989293,0.4794772214479895,0.056942372055656644,0.9204576346955755,0.9570422121500437,0.7438864640797731
0.21608877857215703,0.023090588860213757,0.4039696848485619,0.023480473935881215,0.40735322641727956,0.7732313934155622,0.8028871199121513,0.9765972966363556
0.6782847854774445,0.22209144104272127,0.17529075173661113,0.2423662771511996,0.2172504470114744,0.8720611860582395,0.7067549783925409,0.9988101995296056
0.2883384192828089,0.07008382910862565,-0.2318527577444911,0.04279745779288621,-0.19650869411189525,0.4438012434859895,0.5574752731621746,0.9996693627805757
0.8731801137328148,-0.14783075428567827,0.1249517435207963,0.3866852384873938,0.1373153167284291,0.9179134428351031,0.9334055870810825,0.7215076986346124
